,Name,Cat,Dog,Intact Female,Intact Male,Neutered Male,Spayed Female,OutcomeType_label
0,1,0,1,0,0,1,0,3
1,1,1,0,0,0,0,1,2
2,1,0,1,0,0,1,0,0
3,0,1,0,0,1,0,0,4
4,0,0,1,0,0,1,0,4
5,1,0,1,1,0,0,0,4
6,1,1,0,0,1,0,0,4
7,0,1,0,0,0,0,0,4
8,1,0,1,0,0,0,1,0
9,0,0,1,0,0,0,1,0
10,0,1,0,0,0,0,0,4
11,0,0,1,0,0,0,1,0
12,1,0,1,0,0,1,0,0
13,1,0,1,0,0,1,0,3
14,1,0,1,0,0,1,0,3
15,1,1,0,0,0,1,0,0
16,0,1,0,0,1,0,0,4
17,0,0,1,1,0,0,0,4
18,1,1,0,1,0,0,0,4
19,1,0,1,0,0,1,0,3
20,1,0,1,0,1,0,0,4
21,1,1,0,0,0,0,1,4
22,1,0,1,0,0,0,1,0
23,1,0,1,0,0,1,0,0
24,1,0,1,0,0,1,0,3
25,1,1,0,1,0,0,0,4
26,1,0,1,0,0,0,1,0
27,1,0,1,0,0,0,1,0
28,1,1,0,0,0,0,1,0
29,1,1,0,0,0,1,0,3
30,0,1,0,0,0,0,1,2
31,1,0,1,0,1,0,0,4
32,0,1,0,0,0,0,1,0
33,1,0,1,0,0,1,0,3
34,1,0,1,0,0,1,0,4
35,0,0,1,0,1,0,0,2
36,1,0,1,0,0,1,0,3
37,0,1,0,0,1,0,0,4
38,1,1,0,0,0,1,0,4
39,0,1,0,0,1,0,0,4
40,1,1,0,0,0,0,1,0
41,0,1,0,0,1,0,0,4
42,1,1,0,1,0,0,0,4
43,0,1,0,0,1,0,0,4
44,1,1,0,0,0,1,0,0
45,1,0,1,0,0,1,0,3
46,1,1,0,0,0,0,1,3
47,0,1,0,1,0,0,0,4
48,1,0,1,0,0,0,1,0
49,0,0,1,0,1,0,0,2
50,0,1,0,1,0,0,0,4
51,1,1,0,0,0,0,1,0
52,0,1,0,1,0,0,0,4
53,1,0,1,0,0,1,0,0
54,1,1,0,0,0,0,1,0
55,0,1,0,0,1,0,0,4
56,1,1,0,0,0,0,1,0
57,0,0,1,0,1,0,0,4
58,1,0,1,0,0,0,1,3
59,1,0,1,0,0,1,0,0
60,1,1,0,0,1,0,0,4
61,1,0,1,0,0,0,1,2
62,1,1,0,1,0,0,0,4
63,1,0,1,0,0,0,1,0
64,0,1,0,0,0,0,0,4
65,1,0,1,0,0,0,1,3
66,1,0,1,0,0,1,0,4
67,1,0,1,1,0,0,0,4
68,0,1,0,0,0,0,0,4
69,1,0,1,0,0,0,1,0
70,1,0,1,0,0,1,0,0
71,1,0,1,0,0,1,0,4
72,0,0,1,0,0,0,1,0
73,1,1,0,1,0,0,0,3
74,1,0,1,0,0,0,1,3
75,1,0,1,0,0,0,1,4
76,1,1,0,0,0,0,1,0
77,0,1,0,1,0,0,0,2
78,1,0,1,0,0,1,0,0
79,0,1,0,0,0,0,1,4
80,1,0,1,0,0,1,0,0
81,0,1,0,0,0,0,0,2
82,1,1,0,0,0,0,0,4
83,0,1,0,0,1,0,0,4
84,1,0,1,0,0,1,0,2
85,0,0,1,0,0,1,0,0
86,1,1,0,0,0,1,0,0
87,0,1,0,0,1,0,0,4
88,0,0,1,1,0,0,0,4
89,0,1,0,0,0,0,1,0
90,1,0,1,0,0,1,0,0
91,1,0,1,0,0,0,1,0
92,1,0,1,0,0,0,1,4
93,1,0,1,0,0,0,1,2
94,1,1,0,0,0,0,1,0
95,1,0,1,0,0,0,1,0
96,1,0,1,0,0,1,0,4
97,0,1,0,0,0,1,0,0
98,0,1,0,0,1,0,0,4
99,0,0,1,0,0,1,0,0
100,1,0,1,0,0,1,0,0
101,1,0,1,0,0,1,0,4
102,0,1,0,1,0,0,0,4
103,0,1,0,0,0,0,0,4
104,1,1,0,0,0,0,1,4
105,1,0,1,0,0,1,0,3
106,1,1,0,0,0,1,0,0
107,1,0,1,0,0,0,1,3
108,1,0,1,0,0,1,0,0
109,1,0,1,0,0,1,0,3
110,1,0,1,0,0,1,0,3
111,1,0,1,0,0,1,0,2
112,1,0,1,0,0,0,1,0
113,0,1,0,0,1,0,0,4
114,1,0,1,0,1,0,0,4
115,0,1,0,0,1,0,0,2
116,1,0,1,0,0,0,1,0
117,1,0,1,0,1,0,0,4
118,1,1,0,1,0,0,0,4
119,1,0,1,0,0,0,1,3
120,1,0,1,0,0,1,0,3
121,1,0,1,0,0,1,0,0
122,0,0,1,0,0,0,1,0
123,0,1,0,1,0,0,0,2
124,1,1,0,1,0,0,0,0
125,1,0,1,0,0,1,0,0
126,1,0,1,0,0,1,0,0
127,0,1,0,0,1,0,0,4
128,1,0,1,0,0,1,0,3
129,1,0,1,0,0,0,1,3
130,1,0,1,0,0,0,1,0
131,1,1,0,0,0,0,1,3
132,1,0,1,0,0,0,1,0
133,1,0,1,0,0,0,1,4
134,1,0,1,0,0,0,1,3
135,1,1,0,0,0,1,0,4
136,1,0,1,0,0,0,1,3
137,0,1,0,1,0,0,0,4
138,0,1,0,0,0,0,0,4
139,1,0,1,0,0,0,1,0
140,0,1,0,0,0,1,0,0
141,0,1,0,0,0,1,0,0
142,1,1,0,0,0,0,1,4
143,1,1,0,0,0,0,1,0
144,1,0,1,0,0,1,0,0
145,1,1,0,0,0,0,1,0
146,0,0,1,0,0,0,1,0
147,1,0,1,1,0,0,0,4
148,1,1,0,0,0,0,1,0
149,0,1,0,0,1,0,0,4
150,1,1,0,0,0,1,0,0
151,1,0,1,0,0,0,1,0
152,0,0,1,0,0,1,0,4
153,1,0,1,0,0,0,1,3
154,1,0,1,0,0,1,0,4
155,1,0,1,0,0,1,0,0
156,1,1,0,0,0,0,1,0
157,0,0,1,1,0,0,0,4
158,0,1,0,1,0,0,0,4
159,1,1,0,0,0,1,0,0
160,1,0,1,0,0,1,0,4
161,1,1,0,0,0,1,0,0
162,0,1,0,1,0,0,0,4
163,1,0,1,0,0,1,0,0
164,1,0,1,1,0,0,0,0
165,1,0,1,0,0,0,1,3
166,0,1,0,0,0,1,0,0
167,1,1,0,0,0,0,1,0
168,0,0,1,0,0,0,1,3
169,1,1,0,0,1,0,0,4
170,0,1,0,0,1,0,0,4
171,1,0,1,0,0,0,1,0
172,1,0,1,0,0,1,0,0
173,1,1,0,0,0,0,1,4
174,0,0,1,0,0,1,0,0
175,1,1,0,0,0,1,0,4
176,1,1,0,1,0,0,0,0
177,1,0,1,0,0,0,1,0
178,1,0,1,0,0,0,1,3
179,0,1,0,0,1,0,0,4
180,1,0,1,0,0,1,0,3
181,1,0,1,0,0,0,1,4
182,1,0,1,0,0,0,1,3
183,1,0,1,0,0,1,0,3
184,0,1,0,1,0,0,0,4
185,1,1,0,1,0,0,0,4
186,1,0,1,0,0,0,1,0
187,0,1,0,0,1,0,0,4
188,1,0,1,0,0,0,1,4
189,1,1,0,0,0,0,1,0
190,1,0,1,0,0,0,1,4
191,0,0,1,0,0,0,1,0
192,1,0,1,0,0,0,1,0
193,1,1,0,0,0,0,1,0
194,1,0,1,0,0,0,1,0
195,0,1,0,0,0,1,0,4
196,1,0,1,0,0,1,0,0
197,1,0,1,0,0,1,0,0
198,1,0,1,0,0,1,0,0
199,1,0,1,0,1,0,0,3
200,0,1,0,0,0,0,0,4
201,1,0,1,0,0,1,0,3
202,0,0,1,0,0,0,1,0
203,0,1,0,0,0,1,0,2
204,1,0,1,0,0,0,1,0
205,1,0,1,0,0,1,0,0
206,1,1,0,0,0,1,0,0
207,1,0,1,0,0,0,1,3
208,1,1,0,0,0,1,0,4
209,1,1,0,1,0,0,0,4
210,0,0,1,1,0,0,0,4
211,1,0,1,0,0,1,0,0
212,0,0,1,0,0,1,0,0
213,1,0,1,0,0,0,1,0
214,1,0,1,0,1,0,0,3
215,0,0,1,0,0,0,1,0
216,0,1,0,1,0,0,0,4
217,1,0,1,0,0,0,1,4
218,0,1,0,0,1,0,0,4
219,1,1,0,0,1,0,0,4
220,1,0,1,0,0,1,0,4
221,0,1,0,0,1,0,0,4
222,1,1,0,0,1,0,0,0
223,1,0,1,0,0,0,1,4
224,1,0,1,0,0,0,1,0
225,1,0,1,0,0,0,1,0
226,0,0,1,0,0,0,1,0
227,1,0,1,0,0,1,0,2
228,1,1,0,0,0,0,1,3
229,0,0,1,0,0,0,1,4
230,1,0,1,0,1,0,0,3
231,1,0,1,0,0,1,0,3
232,1,0,1,0,0,1,0,3
233,0,1,0,1,0,0,0,4
234,1,1,0,0,0,0,1,0
235,1,1,0,0,0,1,0,0
236,1,0,1,0,0,0,1,3
237,0,1,0,0,0,1,0,0
238,1,0,1,0,0,0,1,3
239,0,1,0,0,1,0,0,4
240,1,0,1,0,0,0,1,0
241,1,1,0,0,0,1,0,0
242,1,1,0,0,0,0,1,0
243,1,0,1,0,0,1,0,0
244,0,1,0,1,0,0,0,4
245,0,0,1,0,0,0,1,0
246,0,1,0,0,1,0,0,2
247,1,0,1,0,0,0,1,3
248,1,0,1,1,0,0,0,3
249,1,0,1,0,0,1,0,4
250,1,0,1,0,0,1,0,3
251,1,0,1,0,0,0,1,4
252,1,0,1,0,0,1,0,0
253,0,1,0,0,0,1,0,4
254,1,0,1,0,0,1,0,0
255,1,1,0,0,0,1,0,0
256,0,1,0,1,0,0,0,4
257,1,0,1,0,0,0,1,4
258,1,0,1,0,0,0,1,0
259,1,0,1,0,0,0,1,0
260,1,0,1,0,0,0,1,4
261,1,1,0,0,0,1,0,0
262,1,0,1,0,0,0,1,0
263,1,1,0,0,0,0,1,0
264,1,0,1,0,0,0,1,3
265,0,0,1,0,0,1,0,0
266,1,0,1,0,0,1,0,4
267,1,0,1,0,0,0,1,3
268,0,1,0,0,0,0,0,4
269,0,0,1,0,0,0,1,2
270,1,0,1,0,0,1,0,0
271,1,0,1,0,0,1,0,0
272,0,1,0,1,0,0,0,4
273,0,1,0,1,0,0,0,4
274,1,0,1,0,0,1,0,3
