,Cat,Dog,Intact Female,Intact Male,Neutered Male,Spayed Female,OutcomeType_label
0,0.0,1.0,0.0,0.0,1.0,0.0,3
1,1.0,0.0,0.0,0.0,0.0,1.0,2
2,0.0,1.0,0.0,0.0,1.0,0.0,0
3,1.0,0.0,0.0,1.0,0.0,0.0,4
4,0.0,1.0,0.0,0.0,1.0,0.0,4
5,0.0,1.0,1.0,0.0,0.0,0.0,4
6,1.0,0.0,0.0,1.0,0.0,0.0,4
7,1.0,0.0,0.0,0.0,0.0,0.0,4
8,0.0,1.0,0.0,0.0,0.0,1.0,0
9,0.0,1.0,0.0,0.0,0.0,1.0,0
10,1.0,0.0,0.0,0.0,0.0,0.0,4
11,0.0,1.0,0.0,0.0,0.0,1.0,0
12,0.0,1.0,0.0,0.0,1.0,0.0,0
13,0.0,1.0,0.0,0.0,1.0,0.0,3
14,0.0,1.0,0.0,0.0,1.0,0.0,3
15,1.0,0.0,0.0,0.0,1.0,0.0,0
16,1.0,0.0,0.0,1.0,0.0,0.0,4
17,0.0,1.0,1.0,0.0,0.0,0.0,4
18,1.0,0.0,1.0,0.0,0.0,0.0,4
19,0.0,1.0,0.0,0.0,1.0,0.0,3
20,0.0,1.0,0.0,1.0,0.0,0.0,4
21,1.0,0.0,0.0,0.0,0.0,1.0,4
22,0.0,1.0,0.0,0.0,0.0,1.0,0
23,0.0,1.0,0.0,0.0,1.0,0.0,0
24,0.0,1.0,0.0,0.0,1.0,0.0,3
25,1.0,0.0,1.0,0.0,0.0,0.0,4
26,0.0,1.0,0.0,0.0,0.0,1.0,0
27,0.0,1.0,0.0,0.0,0.0,1.0,0
28,1.0,0.0,0.0,0.0,0.0,1.0,0
29,1.0,0.0,0.0,0.0,1.0,0.0,3
30,1.0,0.0,0.0,0.0,0.0,1.0,2
31,0.0,1.0,0.0,1.0,0.0,0.0,4
32,1.0,0.0,0.0,0.0,0.0,1.0,0
33,0.0,1.0,0.0,0.0,1.0,0.0,3
34,0.0,1.0,0.0,0.0,1.0,0.0,4
35,0.0,1.0,0.0,1.0,0.0,0.0,2
36,0.0,1.0,0.0,0.0,1.0,0.0,3
37,1.0,0.0,0.0,1.0,0.0,0.0,4
38,1.0,0.0,0.0,0.0,1.0,0.0,4
39,1.0,0.0,0.0,1.0,0.0,0.0,4
40,1.0,0.0,0.0,0.0,0.0,1.0,0
41,1.0,0.0,0.0,1.0,0.0,0.0,4
42,1.0,0.0,1.0,0.0,0.0,0.0,4
43,1.0,0.0,0.0,1.0,0.0,0.0,4
44,1.0,0.0,0.0,0.0,1.0,0.0,0
45,0.0,1.0,0.0,0.0,1.0,0.0,3
46,1.0,0.0,0.0,0.0,0.0,1.0,3
47,1.0,0.0,1.0,0.0,0.0,0.0,4
48,0.0,1.0,0.0,0.0,0.0,1.0,0
49,0.0,1.0,0.0,1.0,0.0,0.0,2
50,1.0,0.0,1.0,0.0,0.0,0.0,4
51,1.0,0.0,0.0,0.0,0.0,1.0,0
52,1.0,0.0,1.0,0.0,0.0,0.0,4
53,0.0,1.0,0.0,0.0,1.0,0.0,0
54,1.0,0.0,0.0,0.0,0.0,1.0,0
55,1.0,0.0,0.0,1.0,0.0,0.0,4
56,1.0,0.0,0.0,0.0,0.0,1.0,0
57,0.0,1.0,0.0,1.0,0.0,0.0,4
58,0.0,1.0,0.0,0.0,0.0,1.0,3
59,0.0,1.0,0.0,0.0,1.0,0.0,0
60,1.0,0.0,0.0,1.0,0.0,0.0,4
61,0.0,1.0,0.0,0.0,0.0,1.0,2
62,1.0,0.0,1.0,0.0,0.0,0.0,4
63,0.0,1.0,0.0,0.0,0.0,1.0,0
64,1.0,0.0,0.0,0.0,0.0,0.0,4
65,0.0,1.0,0.0,0.0,0.0,1.0,3
66,0.0,1.0,0.0,0.0,1.0,0.0,4
67,0.0,1.0,1.0,0.0,0.0,0.0,4
68,1.0,0.0,0.0,0.0,0.0,0.0,4
69,0.0,1.0,0.0,0.0,0.0,1.0,0
70,0.0,1.0,0.0,0.0,1.0,0.0,0
71,0.0,1.0,0.0,0.0,1.0,0.0,4
72,0.0,1.0,0.0,0.0,0.0,1.0,0
73,1.0,0.0,1.0,0.0,0.0,0.0,3
74,0.0,1.0,0.0,0.0,0.0,1.0,3
75,0.0,1.0,0.0,0.0,0.0,1.0,4
76,1.0,0.0,0.0,0.0,0.0,1.0,0
77,1.0,0.0,1.0,0.0,0.0,0.0,2
78,0.0,1.0,0.0,0.0,1.0,0.0,0
79,1.0,0.0,0.0,0.0,0.0,1.0,4
80,0.0,1.0,0.0,0.0,1.0,0.0,0
81,1.0,0.0,0.0,0.0,0.0,0.0,2
82,1.0,0.0,0.0,0.0,0.0,0.0,4
83,1.0,0.0,0.0,1.0,0.0,0.0,4
84,0.0,1.0,0.0,0.0,1.0,0.0,2
85,0.0,1.0,0.0,0.0,1.0,0.0,0
86,1.0,0.0,0.0,0.0,1.0,0.0,0
87,1.0,0.0,0.0,1.0,0.0,0.0,4
88,0.0,1.0,1.0,0.0,0.0,0.0,4
89,1.0,0.0,0.0,0.0,0.0,1.0,0
90,0.0,1.0,0.0,0.0,1.0,0.0,0
91,0.0,1.0,0.0,0.0,0.0,1.0,0
92,0.0,1.0,0.0,0.0,0.0,1.0,4
93,0.0,1.0,0.0,0.0,0.0,1.0,2
94,1.0,0.0,0.0,0.0,0.0,1.0,0
95,0.0,1.0,0.0,0.0,0.0,1.0,0
96,0.0,1.0,0.0,0.0,1.0,0.0,4
97,1.0,0.0,0.0,0.0,1.0,0.0,0
